Khmer Rouge,160
Popular Front for the Liberation of Palestine (PFLP),157
Guerrilla Army of the Poor (EGP),157
Sudan People's Liberation Movement in Opposition (SPLM-IO),155
Runda Kumpulan Kecil (RKK),154
White supremacists/nationalists,153
Islamic Salvation Front (FIS),153
Barisan Revolusi Nasional (BRN),147
Islamic State of Iraq (ISI),145
Lashkar-e-Jhangvi,144
Anti-Muslim extremists,143
Democratic Revolutionary Alliance (ARDE),141
Free Syrian Army,137
Conspiracy theory extremists,133
Jaish-e-Mohammad (JeM),133
Guatemalan National Revolutionary Unity (URNG),131
Cooperative for the Development of the Congo (CODECO) militia,128
Muslim Brotherhood,128
Dissident Republicans,128
Corsican National Liberation Front- Historic Channel,128
Left-Wing Guerrillas,127
Lashkar-e-Islam (Pakistan),125
Irish National Liberation Army (INLA),125
Fuerzas Armadas de Liberacion Nacional (FALN),120
Black September,120
Democratic Front for the Liberation of Rwanda (FDLR),118
Revolutionary Organization of People in Arms (ORPA),117
Animal Liberation Front (ALF),117
Montoneros (Argentina),116
Free Aceh Movement (GAM),116
Hay'at Tahrir al-Sham,116
Mujahedin-e Khalq (MEK),112
November 17 Revolutionary Organization (N17RO),112
Arakan Army (AA),111
United Popular Action Movement,109
The Extraditables,109
Right-wing extremists,108
Israeli settlers,108
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),105
Anti-Government extremists,102
Bangladesh Nationalist Party (BNP),101
Opposition Group,99
Shanti Bahini - Peace Force,99
People's War Group (PWG),97
Central Africa Province of the Islamic State,97
Karen National Union,96
People's Liberation Army (India),95
Irish Republican Extremists,95
Free Papua Movement (OPM-Organisasi Papua Merdeka),94
Islamic State in the Greater Sahara (ISGS),94
Contras,93
Pro Hartal Activists,92
Black Nationalists,92
United Baloch Army (UBA),90
Revolutionary People's Struggle (ELA),88
Haqqani Network,88
Muslim Fundamentalists,88
Uighur Separatists,87
Movement for the Emancipation of the Niger Delta (MEND),87
Bodo Militants,87
New World Liberation Front (NWLF),86
Indigenous People of Biafra (IPOB),86
Anti-Balaka Militia,86
Communists,85
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),85
People's Liberation Front of India,84
Jewish Defense League (JDL),82
Movement of Democratic Forces of Casamance,82
Mapuche extremists,82
National Liberation Front of Tripura (NLFT),80
Ansar Bayt al-Maqdis (Ansar Jerusalem),79
Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J),78
Paraguayan People's Army (EPP),77
Kashmiri extremists,77
Militants,77
Ansar al-Sunna (Mozambique),76
Jemaah Islamiya (JI),76
Al-Qaida,74
Student Radicals,74
Asa'ib Ahl al-Haqq,73
Resistenza,73
Earth Liberation Front (ELF),72
Jamaat-E-Islami (Bangladesh),71
The New Irish Republican Army,70
National Socialist Council of Nagaland-Khaplang (NSCN-K),70
Turkish People's Liberation Army,69
United Self Defense Units of Colombia (AUC),68
Naxalites,67
Al-Islah Party,67
Gorkha Janmukti Morcha (GJM),67
Red Army Faction (RAF),67
Jabha East Africa,66
Ansar al-Sharia (Libya),66
People's Protection Units (YPG),66
Hizb-ul-Ahrar (HuA),65
Revolutionary United Front (RUF),65
Kachin Independence Army (KIA),64
People's Revolutionary Army (ERP) (El Salvador),64
Southern Mobility Movement (Yemen),64
South-West Africa People's Organization (SWAPO),63
Corsican Separatists,63
Ricardo Franco Front (Dissident FARC),62
Terra Lliure,62
Anti-Semitic extremists,62
Chukakuha (Middle Core Faction),61
Recontras,61
Sudan People's Liberation Movement - North,60
Gurkha National Liberation Front (GNLF),59
Revolutionary Cells,59
Arakan Rohingya Salvation Army (ARSA),59
Terrorists,59
Sindhu Desh Liberation Army (SDLA),59
Conspiracy of Cells of Fire,59
Prima Linea,58
Kosovo Liberation Army (KLA),58
Thai Islamic Militants,58
Adan-Abyan Province of the Islamic State,57
Iparretarrak (IK),57
Al-Fatah,56
Baader-Meinhof Group,56
Action Directe,55
Omega-7,55
Jammu and Kashmir Liberation Front,55
Patriotic Resistance Front in Ituri (FRPI),54
Ansar al-Dine (Mali),54
Indian Mujahideen,53
Oromo Liberation Front,53
Movement for Oneness and Jihad in West Africa (MUJAO),53
Tawhid and Jihad,53
Popular Resistance Committees,51
Moslem Activists,51
Abu Nidal Organization (ANO),51
Guerrillas,51
Left-Wing Terrorists,50
Niger Delta Avengers (NDA),50
Inkatha Freedom Party (IFP),50
Albanian extremists,49
Southern Resistance Forces (SRF),49
Revolutionary Patriotic Anti-Fascist Front (FRAP),49
Oglaigh na hEireann,48
Informal Anarchist Federation,48
Muslim Rebels,48
Jama'atul Mujahideen Bangladesh (JMB),48
Strikers,48
Pattani United Liberation Organization (PULO),48
Iran-backed militia,47
Muslims,47
Free Galician People's Guerrilla Army,47
Popular Forces of April 25,47
Democratic Front for the Liberation of Palestine (DFLP),46
Sindhudesh Revolutionary Army (SRA),46
Justice Commandos for the Armenian Genocide,46
"Weather Underground, Weathermen",46
Sudan People's Liberation Army (SPLA),45
Shia Muslim extremists,45
23rd of September Communist League,44
Islamic State in Bangladesh,44
Tribal Group,44
Caucasus Emirate,44
Hizb-I-Islami,44
Devrimici Halk Kurtulus Cephesi (DHKP/C),43
Left-wing extremists,43
Kata'ib Hezbollah,43
Dishmish Regiment,43
Real Irish Republican Army (RIRA),42
Paramilitaries,42
Kangleipak Communist Party (KCP),42
Tuareg extremists,42
United National Liberation Front (UNLF),41
Brunswijk Jungle Commando,41
Ta'ang National Liberation Army (TNLA),41
Tupamaros (Uruguay),41
Awami League,40
Lorenzo Zelaya Revolutionary Front (LZRF),40
Official Irish Republican Army (OIRA),40
Buddhist Monks,40
Sunni Muslim extremists,39
Israeli extremists,39
Armed Forces of National Resistance (FARN),39
Continuity Irish Republican Army (CIRA),39
Party for the Liberation of the Hutu People (PALIPEHUTU),39
Popular Revolutionary Bloc (BPR),38
National Liberation Front (FNL) (Burundi),38
Baloch Nationalists,38
Janatantrik Terai Mukti Morcha- Goit (JTMM-G),38
Taliban (Pakistan),38
Macheteros,37
Rebels,37
Maute Group,37
Turkish People's Liberation Front (TPLF)(THKP-C),36
Fezzan Province of the Islamic State,36
Popular Resistance Committees (Yemen),36
Black Liberation Army,36
Rebel Armed Forces of Guatemala (FAR),36
Great Eastern Islamic Raiders Front (IBDA-C),36
Islamic Front (Syria),35
Croatian Nationalists,35
Al-Naqshabandiya Army,35
Maoist Communist Center (MCC),35
National Liberation Army (NLA) (Macedonia),35
Seleka,34
Union for Peace in Central Africa (UPC),34
Jaysh al-Islam (Syria),34
Ambazonia Defense Forces (ADF),34
Communist Party of Nepal-Maoist (Baidya),34
Ansar al-Islam (Burkina Faso),34
Canary Islands Independence Movement,34
Misurasata Indian Organization,34
People's Revolutionary Party of Kangleipak (PREPAK),33
Loyalists,33
Lashkar-e-Balochistan,32
Janatantrik Terai Mukti Morcha (JTMM),32
Ajnad Misr,32
Jewish Extremists,32
Nyatura Militia,32
Breton Liberation Front (FLB),32
Meibion Glyndwr,31
April 6th Liberation Movement,31
Chicano Liberation Front,31
Turkish Communist Party/Marxist (TKP-ML),31
Tigray Peoples Liberation Front (TPLF),31
Armed Revolutionary Independence Movement (MIRA),30
Sanaa Province of the Islamic State,30
Kurdistan Freedom Hawks (TAK),30
Armed Proletarian Nuclei (NAP),30
Anti-Government Group,30
Ansar al-Islam,29
Southern Front,29
Mujahidin Indonesia Timur (MIT),29
Animal Rights extremists,29
United Freedom Front (UFF),29
Caucasus Province of the Islamic State,29
Anti-Immigrant extremists,29
Tripura National Volunteers (TNV),29
Haftar Militia,28
Tritiya Prastuti Committee (TPC),28
Zimbabwe African Nationalist Union (ZANU),28
Ahrar al-Sham,28
Balochistan Liberation United Front (BLUF),28
Bougainville Revolutionary Army (BRA),28
Renamo Military Junta,28
Extremists,28
Vigilante Group,27
Alfaro Vive,27
Neo-Fascist extremists,27
Amal,27
Jamaah Ansharut Daulah,27
Abdullah Azzam Brigades,27
Ku Klux Klan,27
Democratic Karen Buddhist Army (DKBA),27
Azawad National Liberation Movement (MNLA),27
Murle Tribe,27
Loyalist Volunteer Forces (LVF),26
Puerto Rican Nationalists,26
Lebanese National Resistance Front,26
Catalan Liberation Front (FAC),26
Kamwina Nsapu Militia,26
Khalistan Liberation Force,26
Army of God,26
Patriotic Morazanista Front (FPM),26
Red Flag (Venezuela),25
Revolutionary Workers' Council (Kakurokyo),25
Weichan Auka Mapu,25
International Revolutionary Action Group (GARI),25
Jaish al-Adl,25
Caribbean Revolutionary Alliance (ARC),25
Black Panthers,24
Islamic State in Egypt,24
Cinchoneros Popular Liberation Movement,24
United Front for Democracy Against Dictatorship,24
16 January Organization for the Liberation of Tripoli,24
Dima Halao Daoga (DHD),24
Jund al-Khilafah (Tunisia),24
Revolutionary Struggle,24
Zapatista National Liberation Army,24
Jaish-e-Islam,24
Peasant Self-Defense Group (ACCU),24
Anti-Police extremists,24
Pro-Russia Militia,24
Rohingya extremists,23
People's Defence Force (Myanmar),23
Hindu extremists,23
The Resistance Front (TRF),23
Halqa-e-Mehsud,23
Arab Separatists,23
Justice and Equality Movement (JEM),23
Tutsi extremists,23
Ex-Somoza National Guard,23
Counter-revolutionaries,23
Red Hand Defenders (RHD),23
Communist Party of Nepal- Maoist (CPN-M),23
Qaddafi loyalists,23
Popular Revolutionary Army (Mexico),22
Cuban Exiles,22
Youths,22
Tupac Katari Guerrilla Army (EGTK),22
Polisario Front,22
Shura Council of Mujahideen in Derna,22
Sudan Liberation Movement,22
Anti-Nuclear extremists,22
Purbo Banglar Communist Party,22
National Front for the Liberation of Cuba (FLNC),22
People's Committee against Police Atrocities (PCPA),22
Shura Council of Benghazi Revolutionaries,22
Coordination Committee (CORCOM),22
Guatemalan Labor Party (PGT),22
Irish People's Liberation Organization (IPLO),21
Hasam Movement,21
Armed People,21
Kurdish extremists,21
Communist Combattant Cells (CCC) (Belgium),21
9 February,21
Karen Insurgents,21
Eritrean Liberation Front,21
Union of the People (UDP),21
Ijaw extremists,20
Karbi People's Liberation Tigers (KPLT),20
Zebra killers,20
Military Council of the Tribal Revolutionaries (MCTR),20
Anti-Government Guerrillas,20
Khalistan Commando Force,20
Peace at Home Council,20
Popular Mobilization Forces (Iraq),20
May 19 Communist Order,20
Right-Wing Death Squad,20
George Jackson Brigade,20
Okba Ibn Nafaa Brigade,20
Jundallah (Pakistan),20
Armed Revolutionary Nuclei (NAR),20
Students,20
Anti-Terrorist Liberation Group (GAL),20
Mahdi Army,19
National Salvation Front (NAS),19
Sandinistas,19
Independent Armed Revolutionary Commandos (CRIA),19
Uganda Freedom Movement (UFM),19
Right-Wing Group,19
Marxists,19
Sipah-e-Sahaba/Pakistan (SSP),19
Jewish Armed Resistance,19
Supporters of Abd Rabbuh Mansur Hadi,19
Argentine Anticommunist Alliance (AAA),19
Secret Anti-Communist Army (ESA),19
Harkatul Jihad-e-Islami,19
Alliance of Patriots for a Free and Sovereign Congo (APCLS),19
Right-Wing Paramilitaries,18
Achik Songna An'pachakgipa Kotok (ASAK),18
Hizbul al Islam (Somalia),18
Young Communist League,18
Gbagbo Loyalists,18
Mujahideen Ansar,18
Jamaat-ul-Ahrar,18
Zeliangrong United Front,18
Death to Kidnappers (MAS),18
Shaykh Subhi Al-Salih Forces,18
Iraqi extremists,18
Forqan Group,18
Dacoits,18
Al-Qaida in the Indian Subcontinent,18
Front for the Liberation of the Enclave of Cabinda (FLEC),17
Kurds,17
Pro-Trump extremists,17
"Return, Reclamation, Rehabilitation (3R)",17
Ashab al-Kahf,17
Arabs,17
National Socialist Council of Nagaland,17
Kuki National Front (KNF),17
Naga People,17
Arauco Malleco Coordinating Group (CAM) - Chile,17
Ansar al-Sunna,17
Italian Social Movement (MSI),17
Al-Mansoorian,17
Anti-White extremists,17
Hadramawt Province of the Islamic State,17
31 January People's Front (FP-31),17
Black Panther Group (Palestinian),17
Tuareg Guerrillas,17
Serbian guerrillas,17
Aryan Republican Army,16
Kurdistan Free Life Party,16
The Justice Department,16
Tiv Militia,16
Raia Mutomboki Militia,16
Coordination for Revolutionary Action (CAR),16
Iranians,16
Al-Ummah,16
Tehrik al-Mojahedin,16
20 December Movement (M-20),16
National Patriotic Front of Liberia (NPFL),16
Students Islamic Movement of India (SIMI),16
February 28 Popular League (El Salvador),15
Kamtapur Liberation Organization (KLO),15
Ranbir Sena,15
Revolutionary Commandos of the People (CRP),15
Individuals Tending Toward Savagery,15
Uganda People's Army,15
Karbi Longri North Cachar Liberation Front (KLNLF),15
Popular Front for the Renaissance of the Central African Republic (FPRC),15
Syrian Democratic Forces (SDF),15
United Democratic Madhesi Front (UDMF),15
Popular Militia (Colombia),15
Jaish al-Fatah (Syria),15
National Council for Defense of Democracy (NCDD),15
Rodrigo Franco Command,15
Front for the Liberation of Lebanon from Foreigners,15
East Timorese extremists,15
Akhil Terai Mukti Morcha (ATMM),15
Workers' Self-Defense Movement (MAO),15
Mai Mai Mazembe Militia,15
Organization of Volunteers for the Puerto Rican Revolution,15
Liwa Ahrar al-Sunna,15
Colombian Guerrillas,15
Maximiliano Gomez Revolutionary Brigade,14
Anti-Technology extremists,14
Institutional Revolutionary Party (PRI),14
Union Guerrera Blanca (UGB),14
Macina Liberation Front (FLM),14
All Tripura Tiger Force (ATTF),14
Anarchist Night Raid Teams,14
Che Guevara Brigade,14
Al-Umar Mujahideen,14
Mizo National Front,14
Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R),14
Tehrik-e-Khilafat,14
Jharkhand Janmukti Parishad (JJP),14
National Socialist Underground,14
Popular Resistance Movement (Egypt),14
Mai Mai Bakata Katanga Militia,14
People's Revolutionary Organization,14
Coordination of the United Revolutionary Organization (CORU),14
Corsican Nationalists,14
2nd of June Movement,14
Hynniewtrep National Liberation Council (HNLC),14
Mai Mai Simba Militia,14
Political Activists,13
Ahlu-sunah Wal-jamea (Somalia),13
Coordination of Azawad Movements (CMA),13
Zimbabwe African People's Union,13
Political Group,13
United Popular Action Front (FAPU),13
Lashkar-e-Islam (India),13
Insurgents,13
Ansar al-Sharia (Tunisia),13
Vishwa Hindu Parishad (VHP),13
National Liberation Front (NLF-Syria),13
Spanish Basque Battalion (BBE) (rightist),13
Force 17,13
Cuban Action,13
Fighting Proletarian Squads,13
Rubicon (Rouvikonas),13
National Democratic Alliance Army (NDAA-ESSA),13
Jundallah (Iran),13
Anti-Authority Group (Greece),13
Turkish-backed militia,13
Armed Commandos of Liberation,13
Muslim Guerrillas,13
Alex Boncayao Brigade (ABB),13
Militia Members,12
Kach,12
Najd Province of the Islamic State,12
Nduma Defense of Congo (NDC),12
Harkat ul Ansar,12
Resistance to the Rule of Law in Burundi (Red-Tabara),12
Islamic Courts Union (ICU),12
Khasi Students Union,12
Bandits,12
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),12
Samyukta Jatiya Mukti Morcha (SJMM),12
Pirates,12
Al-Ashtar Brigades,12
Communist Party of India- Marxist,12
Jamiat ul-Mujahedin (JuM),12
Revolutionary Nuclei,12
East Asia Anti Japanese Armed Front,12
Black Widows,12
New Armenian Resistance,12
Democratic Revolutionary Party,12
Al-Qaida in Yemen,12
Al-Khobar,12
Ambazonia Restoration Forces (ARF),12
Babbar Khalsa International (BKI),12
Rashtriya Swayamsevak Sangh,12
Lesotho Liberation Army (LLA),12
Armed Forces of the Chechen Republic of Ichkeria,12
Ansarullah Bangla Team,11
Benghazi Defense Brigades (BDB),11
Rwanda Patriotic Front (RPF),11
Revolutionary Punishment Movement,11
Manipur Naga People's Army (MNPA),11
Algeria Province of the Islamic State,11
Autonomy (Italy),11
Supreme Council for Islamic Revolution in Iraq (SCIRI),11
United Democratic Liberation Army (UDLA),11
Liberation and Justice Movement (LJM),11
Bedouin tribesmen,11
Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),11
United People's Democratic Front (UPDF) - Bangladesh,11
White Wolves,11
Grey Wolves,11
Ansar Abi Bakr al-Siddiq Squadron,11
Communist Fighting Unit,11
Patriotic Ginbot 7 Movement for Unity and Democracy (PGMUD),11
Niger Delta Greenland Justice Mandate (NDGJM),11
Revolutionary Front for an Independent East Timor (FRETILIN),11
Shan State Progressive Party,11
Kurdish Separatists,11
Subversives,11
Anti-LGBT extremists,11
East Asia Division of the Islamic State,11
Misrata Brigades,11
Quintin Lame,11
People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P),11
Committee of Solidarity with Arab and Middle East Political Prisoners (CSPPA),10
Turkestan Islamic Party,10
Rival Activists,10
Front for the Restoration of Unity and Democracy,10
Sudan Liberation Army-Minni Minawi (SLA-MM),10
Proletarian Patrols,10
Anti-Iran Government Exiles,10
The Children of the Fire Initiative,10
Baloch Liberation Tigers (BLT),10
Indipendenza,10
Basque extremists,10
Supporters of Ex-President Gamsakhurdial,10
Shutdown G20: Take Hamburg offline!,10
Kurdish Democratic Party-Iraq (KDP),10
M23,10
Revolutionary Workers Party,10
Jamaat-E-Islami (India/Pakistan),10
Patriotic and Integrationist Forces of the Congo (FPIC),10
Bhinderanwale Tiger Force of Khalistan (BTHK),10
Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs,10
Jewish Terror,10
Abu Abbas Brigade,10
1 May,10
Takfir wal-Hijra (Excommunication and Exodus),10
Chicano Radicals,10
Red Hand Commandos,10
Egyptian Islamic Jihad (Al-Jihad),10
Iberian Liberation Movement (MIL),10
Pakistani People's Party (PPP),10
Autonomous Anti-Capitalist Commandos (CAA),10
People Against Gangsterism and Drugs (PAGAD),10
Orange Volunteers (OV),10
People's Revolutionary Army (ERP),10
Shamiya Front,10
Arab Communist Organization,10
South Ossetian Separatists,10
Terai Army,10
Kurdish Dissidents,10
Movement of Niger People for Justice (MNJ),10
Pagan Sect of the Mountain,9
Commandos,9
Armenian Guerrillas,9
Black September II,9
Colonel Karuna Faction,9
Iraqi Mujahideen,9
Revolutionary Communist League (LCR) (Spain),9
Orly Organization,9
South Moluccans,9
Bodo Liberation Tigers (BLT),9
Arab-Israeli extremists,9
Kanglei Yawol Kanna Lup (KYKL),9
Turkish Leftists,9
Incel extremists,9
Peronist Armed Forces (FAP),9
Japanese Red Army (JRA),9
Comite d'Action Viticole,9
Ninjas,9
Jund al-Sham for Tawhid and Jihad,9
Kuki Tribal Militants,9
Madhesi Mukti Tigers (MMT),9
Luis Boitel Commandos,9
Supporters of the Islamic State in Jerusalem,9
Social Resistance,9
Libya Revolutionaries Operations Room (LROR),9
Mohajir National Movement,9
Achik National Volunteer Council-B (ANVC-B),9
Environmentalists,9
Zimbabwe Patriotic Front,9
Reform of the Armed Forces Movement,9
Mafia,9
Popular Movement for the Liberation of Angola,9
Democratic Front of the Central African People (FDPC),9
Baloch Republican Guards (BRG),9
Ngumino militia,9
Group of Popular Fighters,9
May 15 Organization for the Liberation of Palestine,9
Serbian extremists,9
Eagles of the Palestinian Revolution,9
Mombasa Republican Council (MRC),9
Gorkha Liberation Army (GLA),9
Dogon extremists,8
Communist Party of India- Marxist-Leninist,8
Cossack Separatists,8
Armata di Liberazione Naziunale (ALN),8
Aum Shinri Kyo,8
Right Sector,8
Supporters of Joshua Nkomo,8
Lebanese Armed Revolutionary Faction (LARF),8
Libya Shield Force,8
"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",8
Al-Qaida in Saudi Arabia,8
Al-Zulfikar,8
Coalition of Patriots for Change (CPC),8
Palestine Liberation Front (PLF),8
Kuki Revolutionary Army (KRA),8
Al-Badr,8
German Resistance Movement,8
Coalition to Save the Preserves (CSP),8
Ninth of June Organization,8
Syrian Social Nationalist Party,8
Somali Salvation Front (SSF),8
Shan State Army - North (SSA-N),8
Basque Separatists,8
Twigwaneho militia,8
United Revolutionary Front,8
Twa Militia,8
Mujahedeen Shura Council,8
Secret Cuban Government,8
Francia,8
Bharatiya Janata Party,8
Athens and Thessaloniki Arsonist Nuclei,8
Workers/Employees,8
The Order (Silent Brotherhood),8
"Up the IRS, Inc",8
Southern Yemen Separatists,8
"Senki (""Battle Flag"")",8
Janatantrik Terai Madhesh Mukti Morcha (JTMMM),8
Christian extremists,8
Deccan Mujahideen,8
People's Fatherland Movement,8
Aleppo Fatah Operations Room,8
Bolivian Socialist Falange,8
Mai Mai Yakutumba Militia,8
Misseriya Arab Tribesmen,8
Arab Revolutionary Army,8
Anti-Terrorism ETA (ATE),8
Jamaah Ansharut Tauhid (JAT),8
Convention of Patriots for Justice and Peace,8
Afghan Guerrillas,8
Tamil Eelam Liberation Organization (TELO),8
Ukrainian nationalists,8
Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC),8
Front For the Liberation of the Azores,8
Azerbaijan Guerrillas,8
Communist Party of Nepal (People's War Group),8
Kuna Indians,7
Ansar al-Sharia Operations Room (Syria),7
Militant Minority (Greece),7
United People's Democratic Solidarity (UPDS),7
Economic Freedom Fighters,7
Laskar Jihad,7
Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),7
Berom Militants,7
Holy Spirit Movement,7
Pedro Albizu Campos Revolutionary Forces,7
Hijaz Province of the Islamic State,7
Golden Dawn,7
Patriotic Union of Kurdistan (PUK),7
Keshet,7
Beirut Martyrs Battalion,7
Soldiers of Truth,7
Scottish National Liberation Army,7
Guerrilla Forces for Liberation,7
The Joint Revolutionary Council,7
Red Brigades Fighting Communist Party (BR-PCC),7
Nepali Congress Party (NC),7
Landless Peasants' Movement (MST),7
Jharkhand Liberation Tigers (JLT),7
Nur-al-Din al-Zinki Movement,7
Rahanwein Resistance Army (RRA),7
Protesters,7
Al-Sham Legion,7
Cyprus Turkish People's Movement,7
Lebanese Liberation Front,7
Anti-Monarchists,7
Tripoli Revolutionaries Battalion,7
Anti-Trump extremists,7
United Wa State Army,7
People's United Liberation Front (PULF),7
World Church of the Creator,7
Terror Against Terror,7
Rebel Military Unit,7
Kisan Indian Organization,7
Survivors of Golfech,7
Anti-Government Demonstrators,7
Eelam People's Revolutionary Liberation Front (EPRLF),7
Somali National Movement,7
Arab Movement of Azawad (MAA),7
Black Star,7
Bodu Bala Sena,7
Recompras,7
Afghan Mujahideen,7
Symbionese Liberation Army (SLA),7
Hind Province of the Islamic State,7
Secessionists,7
Fighting Popular Rally,7
Afrin Liberation Forces (HRE),7
Pedro Leon Arboleda (PLA),7
GAC,7
Kurdish Rebels,7
Incite the Believers,7
Movement of the Revolutionary Left (MIR) (Peru),7
Pakistan Province of the Islamic State,7
Red Guerrilla,7
Maximiliano Hernandez Martinez Brigade,7
Revolutionary Popular Left,7
Proletarian Fighting Patrol,7
Armenians,7
Argentine Liberation Front (FAL),7
Guadeloupe Liberation Army,7
Revolutionary Action,7
Dozo militia,7
Mob,7
Fedayeen Khalq (People's Commandos),7
Niger Delta extremists,6
Adivasi National Liberation Army (ANLA),6
Ansar Al-Khilafa (Philippines),6
Bangladesh Sarbahara Party,6
Sabaot Land Defense Force (SLDF),6
Abu Amarah Battalion,6
Wild Individualities,6
Black Order,6
Ogaden National Liberation Front (ONLF),6
Ansar al-Sharia (Pakistan),6
Breton Separatists,6
Illuminating Paths of Solidarity,6
Armed Falange,6
Armed Proletarian Squads,6
National Movement of Revolutionaries (MNR),6
American Indian Movement,6
Pro-Indonesia extremists,6
Commando Adolph Hitler,6
Armed Group for the Liberation of Guadeloupe (GLAG),6
Tamil Nadu Liberation Army,6
Pyu Saw Htee,6
Black Muslims,6
The Defense Command of the French People and the Motherland (CDPPF),6
Radicals,6
OAS-MRP,6
Sadrist Movement,6
Revolutionary Armed Forces of Nicaragua (FARN),6
2 April Group,6
Republican Action Force,6
Fatah Uprising,6
International Revolutionary Solidarity,6
Hmar People's Convention-Democracy (HPC-D),6
Sipah-I-Mohammed,6
Palestinian Revolution Forces,6
Shan State Army - South (SSA-S),6
David Yau Yau Militia,6
A'chik Matgrik Elite Force (AMEF),6
Turkish Hezbollah,6
Nepal Defense Army,6
National Organization of Cypriot Fighters (EOKA),6
Base Movement,6
Aryan Nation,6
Morazanist Front for the Liberation of Honduras (FMLH),6
Tehrik-e-Nafaz-e-Shariat-e-Mohammadi (TNSM),6
Kani Brigade,6
America Battalion,6
Anti-United States extremists,6
Youth Action Group,6
Self-Defense Group of Imghad Tuaregs and Allies (GATIA),6
Dimasa National Liberation Army (DNLA),6
Marxist-Leninist Armed Propaganda Unit,6
Revolutionary Front for National Liberation,6
Ahl al-Marouf,6
Unemployed Persons,6
Opposition Militants,6
Armed Nucleus for Popular Autonomy,6
Chilean Anti-Communist Alliance (ACHA),6
Bashir al-Baqarah militia,6
